index	Ontology	GO id	GO term	value	pval	qval
1	BP	GO:0099174	regulation of presynapse organization	27	2.811282507347229e-19	2.070087874285132e-15
2	BP	GO:1905606	regulation of presynapse assembly	27	2.811282507347229e-19	2.070087874285132e-15
3	BP	GO:0051963	regulation of synapse assembly	83	1.7203539302393025e-17	8.445217443544735e-14
4	BP	GO:0050807	regulation of synapse organization	187	1.9464773373112276e-16	7.166442936645612e-13
5	BP	GO:0051965	positive regulation of synapse assembly	41	5.608445603782516e-15	1.6519115681381025e-11
6	BP	GO:1901888	regulation of cell junction assembly	165	1.0212649799563428e-14	2.5066948933028433e-11
7	BP	GO:0099560	synaptic membrane adhesion	21	2.3213963000381136e-14	4.883886187237329e-11
8	BP	GO:1901890	positive regulation of cell junction assembly	79	7.110829612112451e-13	1.3090148462197508e-09
9	CC	GO:0098839	postsynaptic density membrane	67	4.171218382877288e-11	7.891945180403828e-08
10	CC	GO:0099634	postsynaptic specialization membrane	89	2.401999697006959e-10	1.8383847641091163e-07
11	CC	GO:0045202	synapse	782	3.3324745771276296e-10	1.8383847641091163e-07
12	CC	GO:0098978	glutamatergic synapse	333	3.8866485499135653e-10	1.8383847641091163e-07
13	CC	GO:0030054	cell junction	1413	3.891684461475097e-09	1.4726134002221765e-06
14	BP	GO:0051962	positive regulation of nervous system development	228	1.3293229214452414e-09	2.1752154071248963e-06
15	CC	GO:0097060	synaptic membrane	291	7.275773831549407e-09	2.2942940148819132e-06
16	BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	151	5.963630304942831e-09	8.782638350089309e-06
17	BP	GO:0044087	regulation of cellular component biogenesis	787	1.28083118855047e-08	1.714800083071161e-05
18	BP	GO:0051960	regulation of nervous system development	372	3.9764349834177085e-08	4.880079833399383e-05
19	BP	GO:0098609	cell-cell adhesion	385	5.037367241837935e-08	5.7065621054267126e-05
20	BP	GO:0099151	regulation of postsynaptic density assembly	8	5.656001818669362e-08	5.949709913110264e-05
21	BP	GO:0007409	axonogenesis	115	9.263714140509141e-08	8.709294668660565e-05
22	BP	GO:0044089	positive regulation of cellular component biogenesis	422	9.462124988019899e-08	8.709294668660565e-05
23	BP	GO:0007155	cell adhesion	679	1.0609152514492386e-07	9.085629521777797e-05
